                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5067,                 3.0434,                  1.381,                0.87028,                 0.0707,                0.23149,                0.14554,                 1.4545,                  3.064,                  1.309,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.3772,                 1.8496,                 1.2169,                0.86793,                0.21782,                 0.3145,                0.20497,                  1.443,                 2.6167,                 1.2512,             0.00056035,             0.00056035,             0.00056035
                      3,                 1.3459,                 1.6862,                 1.2078,                0.86751,                0.22772,                0.31775,                0.19222,                 1.6344,                 2.8075,                 1.4188,             0.00081354,             0.00081354,             0.00081354
                      4,                 1.3433,                 1.5127,                 1.2186,                 0.7823,                0.18703,                0.37796,                0.25486,                 1.5829,                 2.6769,                 1.4329,               0.001043,               0.001043,               0.001043
                      5,                 1.3275,                 1.5024,                 1.2492,                0.66829,                0.42074,                0.52869,                0.32604,                 1.4852,                 2.1938,                  1.416,              0.0012486,              0.0012486,              0.0012486
                      6,                 1.3033,                 1.4633,                 1.2315,                0.61817,                0.40713,                0.49063,                0.30929,                 1.5396,                 2.4065,                 1.4879,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.3089,                 1.4234,                 1.2177,                0.59111,                0.54893,                0.52593,                0.29524,                 1.6047,                 2.3266,                 1.5022,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.2951,                 1.4191,                 1.2165,                0.54153,                0.61878,                0.58904,                0.31916,                 1.6177,                 2.0636,                 1.5465,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.2788,                 1.3024,                 1.2181,                0.70519,                0.50602,                0.57635,                 0.3501,                 1.5989,                 1.9663,                 1.4917,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.2377,                 1.2948,                 1.1953,                0.73057,                0.59913,                0.69565,                0.42394,                 1.4618,                 1.5507,                  1.407,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.2693,                 1.2267,                 1.1984,                0.91792,                 0.5251,                0.69905,                0.42806,                 1.4679,                 1.5776,                 1.3912,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.2259,                 1.2062,                 1.1633,                0.74349,                0.66691,                0.74279,                 0.4574,                 1.3628,                 1.3865,                  1.331,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.2082,                 1.1182,                 1.1767,                0.78044,                0.69967,                0.75018,                 0.4372,                 1.5222,                 1.4844,                 1.3692,             0.00094085,             0.00094085,             0.00094085
                     14,                  1.183,                 1.1038,                 1.1626,                0.86183,                0.64209,                0.75045,                0.44721,                 1.4308,                 1.3485,                 1.3237,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.1837,                 1.1066,                 1.1644,                0.81289,                0.64365,                0.73491,                0.44472,                 1.3847,                 1.4155,                 1.3082,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.1331,                 1.1194,                 1.1562,                0.76895,                0.67444,                0.74872,                 0.4519,                   1.46,                 1.3236,                 1.3381,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.1185,                 1.0536,                  1.118,                0.82236,                0.70524,                0.76814,                0.46625,                 1.3723,                 1.2206,                 1.2788,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.1132,                 1.0204,                 1.1265,                0.72759,                0.69429,                0.75652,                0.46636,                 1.3544,                 1.3096,                 1.2881,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.1059,                0.99385,                 1.1091,                0.75225,                0.69472,                0.75944,                0.45763,                 1.4037,                 1.2766,                 1.2984,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.1066,                0.96672,                 1.1289,                0.79791,                0.71061,                0.78903,                0.49471,                 1.3472,                 1.1397,                 1.2428,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.0875,                0.90848,                  1.096,                0.88011,                0.62116,                0.78071,                0.48913,                 1.3496,                 1.1314,                 1.2443,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.0427,                0.88752,                 1.0873,                0.81851,                0.70757,                0.79968,                0.49079,                 1.3518,                 1.0999,                 1.2501,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.0443,                0.88832,                 1.0809,                0.82902,                0.73718,                0.81744,                0.49454,                 1.3587,                 1.0599,                 1.2452,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.0079,                0.83116,                 1.0534,                 0.8171,                0.73017,                0.82589,                0.51377,                 1.3016,                 1.0265,                 1.2039,             0.00021471,             0.00021471,             0.00021471
                     25,                0.96684,                0.79179,                 1.0315,                0.83987,                0.72977,                0.83106,                0.51823,                  1.266,                 1.0067,                 1.1806,              0.0001487,              0.0001487,              0.0001487
